==24487== NVPROF is profiling process 24487, command: ./hotspot 512 2 2 ../../data/hotspot/temp_512 ../../data/hotspot/power_512 output.out
==24487== Profiling application: ./hotspot 512 2 2 ../../data/hotspot/temp_512 ../../data/hotspot/power_512 output.out
==24487== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,KB,MB,GB/s,,,,
180.507912,85.887000,,,,,,,,,,1.000000,11.370318,"GeForce GTX 650 (0)","1","7","[CUDA memcpy HtoD]"
180.720805,85.087000,,,,,,,,,,1.000000,11.477223,"GeForce GTX 650 (0)","1","7","[CUDA memcpy HtoD]"
180.813668,981.105000,43,43,1,16,16,1,36,3.072000e+03,0.000000,,,"GeForce GTX 650 (0)","1","7","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float) [110]"
181.804245,83.807000,,,,,,,,,,1.000000,11.652517,"GeForce GTX 650 (0)","1","7","[CUDA memcpy DtoH]"
==24617== NVPROF is profiling process 24617, command: ./hotspot 512 2 2 ../../data/hotspot/temp_512 ../../data/hotspot/power_512 output.out
==24617== Profiling application: ./hotspot 512 2 2 ../../data/hotspot/temp_512 ../../data/hotspot/power_512 output.out
==24617== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,us,,us,us,us,
79.457728,984.753000,1,984.753000,984.753000,984.753000,"calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)"
13.780054,170.782000,2,85.391000,84.959000,85.823000,"[CUDA memcpy HtoD]"
6.762217,83.807000,1,83.807000,83.807000,83.807000,"[CUDA memcpy DtoH]"

==24617== System profiling result:
"","Device","Count","Avg","Min","Max"
"Temperature (C)","GeForce GTX 650 (0)",4,36.750000,36.000000,37.000000
"Fan (%)","GeForce GTX 650 (0)",2,21.000000,21.000000,21.000000

==24617== API calls:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,us,ms,
94.570015,45.471809,3,15.157269,69.844000,45.322282,"cudaMalloc"
3.611946,1.736721,3,0.578907,128.898000,1.471988,"cudaMemcpy"
0.989712,0.475880,83,5.733000e-03,0.095000,0.251474,"cuDeviceGetAttribute"
0.422699,0.203245,3,0.067748,47.884000,0.107188,"cudaFree"
0.236830,0.113874,1,0.113874,113.874000,0.113874,"cuDeviceTotalMem"
0.074062,0.035611,1,0.035611,35.611000,0.035611,"cudaLaunch"
0.072951,0.035077,1,0.035077,35.077000,0.035077,"cuDeviceGetName"
0.009224,4.435000e-03,14,3.160000e-04,0.119000,2.491000e-03,"cudaSetupArgument"
0.005268,2.533000e-03,1,2.533000e-03,2.533000,2.533000e-03,"cuDeviceGetPCIBusId"
0.003502,1.684000e-03,2,8.420000e-04,0.221000,1.463000e-03,"cuDeviceGetCount"
0.002336,1.123000e-03,1,1.123000e-03,1.123000,1.123000e-03,"cudaConfigureCall"
0.001456,7.000000e-04,2,3.500000e-04,0.116000,5.840000e-04,"cuDeviceGet"
